File,Line,Text,Suggested Key
"components\admin\AssignmentRulesManager.tsx",482,"Assignment Rules Manager","admin.assignmentrulesmanager.assignment_rules_manager"
"components\admin\AssignmentRulesManager.tsx",483,"Configure intelligent ticket assignment rules and system settings","admin.assignmentrulesmanager.configure_intelligent_ticket_a"
"components\admin\AssignmentRulesManager.tsx",492,"Configuration","admin.assignmentrulesmanager.configuration"
"components\admin\AssignmentRulesManager.tsx",501,"Add Rule","admin.assignmentrulesmanager.add_rule"
"components\admin\AssignmentRulesManager.tsx",509,"Assignment Rules","admin.assignmentrulesmanager.assignment_rules"
"components\admin\AssignmentRulesManager.tsx",510,"System Configuration","admin.assignmentrulesmanager.system_configuration"
"components\admin\AssignmentRulesManager.tsx",511,"Analytics","admin.assignmentrulesmanager.analytics"
"components\admin\AssignmentRulesManager.tsx",525,"No assignment rules","admin.assignmentrulesmanager.no_assignment_rules"
"components\admin\AssignmentRulesManager.tsx",526,"Create your first assignment rule to automate ticket distribution","admin.assignmentrulesmanager.create_your_first_assignment_r"
"components\admin\AssignmentRulesManager.tsx",530,"Create Rule","admin.assignmentrulesmanager.create_rule"
"components\admin\AssignmentRulesManager.tsx",567,"Active","admin.assignmentrulesmanager.active"
"components\admin\AssignmentRulesManager.tsx",572,"Disabled","admin.assignmentrulesmanager.disabled"
"components\admin\AssignmentRulesManager.tsx",612,"Conditions","admin.assignmentrulesmanager.conditions"
"components\admin\AssignmentRulesManager.tsx",631,"Actions","admin.assignmentrulesmanager.actions"
"components\admin\AssignmentRulesManager.tsx",646,"Notify manager: Yes","admin.assignmentrulesmanager.notify_manager_yes"
"components\admin\AssignmentRulesManager.tsx",661,"Assignment Algorithm Configuration","admin.assignmentrulesmanager.assignment_algorithm_configura"
"components\admin\AssignmentRulesManager.tsx",699,"Max Concurrent Tickets per Agent","admin.assignmentrulesmanager.max_concurrent_tickets_per_age"
"components\admin\AssignmentRulesManager.tsx",726,"Enable automatic workload rebalancing","admin.assignmentrulesmanager.enable_automatic_workload_reba"
"components\admin\AssignmentRulesManager.tsx",730,"Save Configuration","admin.assignmentrulesmanager.save_configuration"
"components\admin\AssignmentRulesManager.tsx",741,"Active Rules","admin.assignmentrulesmanager.active_rules"
"components\admin\AssignmentRulesManager.tsx",754,"Auto Assignments","admin.assignmentrulesmanager.auto_assignments"
"components\admin\AssignmentRulesManager.tsx",759,"Of tickets assigned automatically","admin.assignmentrulesmanager.of_tickets_assigned_automatica"
"components\admin\AssignmentRulesManager.tsx",767,"Avg Assignment Time","admin.assignmentrulesmanager.avg_assignment_time"
"components\admin\AssignmentRulesManager.tsx",772,"Average time to assign","admin.assignmentrulesmanager.average_time_to_assign"
"components\admin\AssignmentRulesManager.tsx",852,"Rule Name","admin.assignmentrulesmanager.rule_name"
"components\admin\AssignmentRulesManager.tsx",867,"Enable this rule","admin.assignmentrulesmanager.enable_this_rule"
"components\admin\AssignmentRulesManager.tsx",872,"Description","admin.assignmentrulesmanager.description"
"components\admin\AssignmentRulesManager.tsx",882,"Conditions","admin.assignmentrulesmanager.conditions"
"components\admin\AssignmentRulesManager.tsx",885,"Ticket Priorities","admin.assignmentrulesmanager.ticket_priorities"
"components\admin\AssignmentRulesManager.tsx",928,"Actions","admin.assignmentrulesmanager.actions"
"components\admin\AssignmentRulesManager.tsx",931,"Assign to Specific Agent","admin.assignmentrulesmanager.assign_to_specific_agent"
"components\admin\AssignmentRulesManager.tsx",943,"No specific agent","admin.assignmentrulesmanager.no_specific_agent"
"components\admin\AssignmentRulesManager.tsx",976,"Notify manager when rule is triggered","admin.assignmentrulesmanager.notify_manager_when_rule_is_tr"
"components\admin\AssignmentRulesManager.tsx",981,"Cancel","admin.assignmentrulesmanager.cancel"
"components\admin\AssignmentRulesManager.tsx",1019,"Assignment System Configuration","admin.assignmentrulesmanager.assignment_system_configuratio"
"components\admin\AssignmentRulesManager.tsx",1024,"Scoring Weights","admin.assignmentrulesmanager.scoring_weights"
"components\admin\AssignmentRulesManager.tsx",1039,"How much current workload affects assignment","admin.assignmentrulesmanager.how_much_current_workload_affe"
"components\admin\AssignmentRulesManager.tsx",1052,"How much past performance affects assignment","admin.assignmentrulesmanager.how_much_past_performance_affe"
"components\admin\AssignmentRulesManager.tsx",1065,"How much availability status affects assignment","admin.assignmentrulesmanager.how_much_availability_status_a"
"components\admin\AssignmentRulesManager.tsx",1082,"Capacity Settings","admin.assignmentrulesmanager.capacity_settings"
"components\admin\AssignmentRulesManager.tsx",1086,"Max Concurrent Tickets per Agent","admin.assignmentrulesmanager.max_concurrent_tickets_per_age"
"components\admin\AssignmentRulesManager.tsx",1096,"Maximum tickets an agent can handle simultaneously","admin.assignmentrulesmanager.maximum_tickets_an_agent_can_h"
"components\admin\AssignmentRulesManager.tsx",1111,"Trigger rebalancing when utilization exceeds this percentage","admin.assignmentrulesmanager.trigger_rebalancing_when_utili"
"components\admin\AssignmentRulesManager.tsx",1119,"Business Hours","admin.assignmentrulesmanager.business_hours"
"components\admin\AssignmentRulesManager.tsx",1123,"Start Time","admin.assignmentrulesmanager.start_time"
"components\admin\AssignmentRulesManager.tsx",1136,"End Time","admin.assignmentrulesmanager.end_time"
"components\admin\AssignmentRulesManager.tsx",1149,"Timezone","admin.assignmentrulesmanager.timezone"
"components\admin\AssignmentRulesManager.tsx",1162,"Eastern Time","admin.assignmentrulesmanager.eastern_time"
"components\admin\AssignmentRulesManager.tsx",1163,"Central Time","admin.assignmentrulesmanager.central_time"
"components\admin\AssignmentRulesManager.tsx",1164,"Mountain Time","admin.assignmentrulesmanager.mountain_time"
"components\admin\AssignmentRulesManager.tsx",1165,"Pacific Time","admin.assignmentrulesmanager.pacific_time"
"components\admin\AssignmentRulesManager.tsx",1166,"London","admin.assignmentrulesmanager.london"
"components\admin\AssignmentRulesManager.tsx",1167,"Paris","admin.assignmentrulesmanager.paris"
"components\admin\AssignmentRulesManager.tsx",1168,"Tokyo","admin.assignmentrulesmanager.tokyo"
"components\admin\AssignmentRulesManager.tsx",1176,"Automation Settings","admin.assignmentrulesmanager.automation_settings"
"components\admin\AssignmentRulesManager.tsx",1184,"Enable automatic workload rebalancing","admin.assignmentrulesmanager.enable_automatic_workload_reba"
"components\admin\AssignmentRulesManager.tsx",1186,"When enabled, the system will automatically redistribute tickets when agents become overloaded","admin.assignmentrulesmanager.when_enabled_the_system_will_a"
