File,Line,Text,Suggested Key,Priority,Category,Visibility Score,Frequency
"components\tickets\dialogs\TicketDialog.tsx",1014,"Cancel","dialogs.ticketdialog.cancel","high","ui_text",25,12
"components\tickets\TaskManagement.tsx",371,"Cancel","tickets.taskmanagement.cancel","high","ui_text",25,13
"components\ui\LoadingFallback.tsx",55,"Cancel","ui.loadingfallback.cancel","high","ui_text",25,14
"components\ui\LoadingFallback.tsx",92,"Cancel","ui.loadingfallback.cancel","high","ui_text",25,15
"hooks\useConsolidatedLoading.ts",228,"Promise","hooks.useconsolidatedloading.promise","high","ui_text",25,12
"hooks\useErrorRecovery.ts",49,"Promise","hooks.useerrorrecovery.promise","high","ui_text",25,13
"hooks\useErrorRecovery.ts",132,"Promise","hooks.useerrorrecovery.promise","high","ui_text",25,14
"hooks\useRetryableAction.ts",19,"Promise","hooks.useretryableaction.promise","high","ui_text",25,15
"hooks\useRetryableAction.ts",220,"Promise","hooks.useretryableaction.promise","high","ui_text",25,16
"hooks\useRetryableAction.ts",236,"Promise","hooks.useretryableaction.promise","high","ui_text",25,17
"hooks\useRetryableQuery.ts",18,"Promise","hooks.useretryablequery.promise","high","ui_text",25,18
"hooks\useSessionAwareQuery.ts",7,"Promise","hooks.usesessionawarequery.promise","high","ui_text",25,19
"hooks\useUserManagementLoading.ts",34,"Promise","hooks.useusermanagementloading.promise","high","ui_text",25,20
"hooks\useUserManagementLoading.ts",44,"Promise","hooks.useusermanagementloading.promise","high","ui_text",25,21
"hooks\useUserManagementLoading.ts",55,"Promise","hooks.useusermanagementloading.promise","high","ui_text",25,22
"hooks\useUserManagementLoading.ts",70,"Promise","hooks.useusermanagementloading.promise","high","ui_text",25,23
"hooks\useUserManagementLoading.ts",80,"Promise","hooks.useusermanagementloading.promise","high","ui_text",25,24
"hooks\useUserManagementLoading.ts",90,"Promise","hooks.useusermanagementloading.promise","high","ui_text",25,25
"lib\networkErrorHandler.ts",79,"Promise","lib.networkerrorhandler.promise","high","ui_text",25,26
"lib\networkErrorHandler.ts",81,"Promise","lib.networkerrorhandler.promise","high","ui_text",25,27
"lib\networkErrorHandler.ts",155,"Promise","lib.networkerrorhandler.promise","high","ui_text",25,28
"lib\queryUtils.ts",14,"Promise","lib.queryutils.promise","high","ui_text",25,29
"services\gracefulDegradationService.ts",124,"Promise","services.gracefuldegradationservice.promise","high","ui_text",25,30
